EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
Hail,C,0,,,09-JUL-55 18:30:00,CST,09-JUL-55 18:30:00,0,0,0,0,0,0,,1.50,,,,,0,0,,,,,0,,,0,,,42.70,-96.78,,
Tornado,C,143,POLK,,09-JUL-55 22:00:00,CST,09-JUL-55 22:00:00,0,0,0,0,25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,41.07,-97.80,,
Tornado,C,13,BOX BUTTE,,09-JUL-55 22:30:00,CST,09-JUL-55 22:30:00,0,0,0,0,2.5K,0,,0,,,,F0,0,33,,,,,0,,,0,,,42.37,-102.85,,
Tornado,C,79,HALL,,09-JUL-55 23:00:00,CST,09-JUL-55 23:00:00,0,0,0,0,2.5K,0,,0,,,,F1,5.6,33,,,,,0,,,0,,,40.93,-98.55,40.93,-98.43
Tornado,C,47,DAWSON,,12-JUL-55 00:20:00,CST,12-JUL-55 00:20:00,0,0,0,0,2.5K,0,,0,,,,F1,0,250,,,,,0,,,0,,,41.02,-99.63,,
Tornado,C,17,BROWN,,12-JUL-55 13:00:00,CST,12-JUL-55 13:00:00,0,0,0,0,.25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,42.48,-99.87,,
Thunderstorm Wind,C,89,HOLT,,12-JUL-55 15:15:00,CST,12-JUL-55 15:15:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,42.50,-98.58,,
Hail,C,67,GAGE,,27-JUN-55 10:00:00,CST,27-JUN-55 10:00:00,0,0,0,0,0,0,,1.00,,,,,0,0,,,,,0,,,0,,,40.28,-96.78,,
Tornado,C,157,SCOTTS BLUFF,,27-JUN-55 16:45:00,CST,27-JUN-55 16:45:00,29,0,2,0,250K,0,,0,,,,F4,26,33,,,,,0,,,0,,,41.93,-103.80,41.78,-103.33
Tornado,C,123,MORRILL,,27-JUN-55 17:00:00,CST,27-JUN-55 17:00:00,0,0,0,0,2.5K,0,,0,,,,F4,0,33,,,,,0,,,0,,,41.78,-103.33,41.77,-103.32
Hail,C,165,SIOUX,,27-JUN-55 17:30:00,CST,27-JUN-55 17:30:00,0,0,0,0,0,0,,2.75,,,,,0,0,,,,,0,,,0,,,42.08,-103.68,,
Tornado,C,157,SCOTTS BLUFF,,27-JUN-55 18:30:00,CST,27-JUN-55 18:30:00,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,41.97,-103.95,,
Hail,C,15,BOYD,,02-JUL-55 19:00:00,CST,02-JUL-55 19:00:00,0,0,0,0,0,0,,1.00,,,,,0,0,,,,,0,,,0,,,42.88,-98.78,,
Hail,C,157,SCOTTS BLUFF,,03-JUL-55 19:42:00,CST,03-JUL-55 19:42:00,0,0,0,0,0,0,,.75,,,,,0,0,,,,,0,,,0,,,41.88,-103.58,,
Hail,C,11,BOONE,,04-JUL-55 18:00:00,CST,04-JUL-55 18:00:00,0,0,0,0,0,0,,1.50,,,,,0,0,,,,,0,,,0,,,41.58,-98.08,,
Tornado,C,65,FURNAS,,04-JUL-55 21:00:00,CST,04-JUL-55 21:00:00,0,0,0,0,2.5K,0,,0,,,,F0,0,33,,,,,0,,,0,,,40.33,-99.72,,
Tornado,C,41,CUSTER,,08-JUL-55 02:00:00,CST,08-JUL-55 02:00:00,0,0,0,0,250K,0,,0,,,,F2,0,33,,,,,0,,,0,,,41.28,-99.22,41.28,-99.20
Hail,C,41,CUSTER,,08-JUL-55 02:00:00,CST,08-JUL-55 02:00:00,0,0,0,0,0,0,,1.00,,,,,0,0,,,,,0,,,0,,,41.38,-99.50,,
Hail,C,97,SWEET GRASS,,16-JUN-55 19:00:00,CST,16-JUN-55 19:00:00,0,0,0,0,0,0,,.75,,,,,0,0,,,,,0,,,0,,,45.78,-109.90,,
Thunderstorm Wind,C,29,FLATHEAD,,22-JUN-55 23:00:00,CST,22-JUN-55 23:00:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,48.20,-114.30,,
Hail,C,105,VALLEY,,05-JUL-55 04:28:00,CST,05-JUL-55 04:28:00,0,0,0,0,0,0,,1.25,,,,,0,0,,,,,0,,,0,,,48.20,-106.58,,
Tornado,C,355,NUECES,,11-MAY-55 10:30:00,CST,11-MAY-55 10:30:00,0,0,0,0,0K,0,,0,,,,F1,1,33,,,,,0,,,0,,,27.78,-97.67,,
Tornado,C,37,DARKE,,15-NOV-55 19:30:00,CST,15-NOV-55 19:30:00,1,0,0,0,2.5M,0,,0,,,,F3,6.6,300,,,,,0,,,0,,,40.10,-84.77,40.10,-84.63
Tornado,C,9,BECKHAM,,08-JUN-55 11:30:00,CST,08-JUN-55 11:30:00,0,0,0,0,250K,0,,0,,,,F1,1,500,,,,,0,,,0,,,35.27,-99.62,,
Thunderstorm Wind,C,33,COTTON,,08-JUN-55 13:00:00,CST,08-JUN-55 13:00:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,34.28,-98.18,,
Tornado,C,75,KIOWA,,14-JUN-55 20:30:00,CST,14-JUN-55 20:30:00,0,0,0,0,25K,0,,0,,,,F2,17.6,500,,,,,0,,,0,,,34.67,-98.95,34.85,-98.73
Thunderstorm Wind,C,51,GRADY,,15-JUN-55 02:30:00,CST,15-JUN-55 02:30:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,35.28,-98.00,,
Hail,C,7,BEAVER,,15-JUN-55 16:30:00,CST,15-JUN-55 16:30:00,0,0,0,0,0,0,,.75,,,,,0,0,,,,,0,,,0,,,36.70,-100.18,,
Hail,C,45,ELLIS,,15-JUN-55 18:25:00,CST,15-JUN-55 18:25:00,0,0,0,0,0,0,,.00,,,,,0,0,,,,,0,,,0,,,36.08,-99.78,,
Hail,C,129,ROGER MILLS,,15-JUN-55 19:30:00,CST,15-JUN-55 19:30:00,0,0,0,0,0,0,,.75,,,,,0,0,,,,,0,,,0,,,35.58,-99.68,,
Tornado,C,65,JACKSON,,25-MAY-55 05:00:00,CST,25-MAY-55 05:00:00,0,0,0,0,.25K,0,,0,,,,F0,0,33,,,,,0,,,0,,,34.67,-99.30,,
Tornado,C,129,ROGER MILLS,,25-MAY-55 17:00:00,CST,25-MAY-55 17:00:00,8,0,2,0,250K,0,,0,,,,F4,10.6,400,,,,,0,,,0,,,35.47,-100.00,35.50,-99.82
Thunderstorm Wind,C,149,WARREN,,12-APR-55 12:30:00,CST,12-APR-55 12:30:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,32.38,-90.90,,
