EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
Tornado,C,145,UNION,,12-FEB-50 12:00:00,CST,12-FEB-50 12:00:00,0,0,0,0,0K,0,,0,,,,F1,2,33,,,,,0,,,0,,,34.60,-89.12,,
Tornado,C,145,UNION,,12-FEB-50 12:00:00,CST,12-FEB-50 12:00:00,2,0,3,0,25K,0,,0,,,,F2,0,33,,,,,0,,,0,,,34.60,-89.12,,
Tornado,C,75,LAUDERDALE,,01-MAR-50 02:30:00,CST,01-MAR-50 02:30:00,0,0,0,0,0K,0,,0,,,,F1,0,33,,,,,0,,,0,,,32.50,-88.85,,
Tornado,C,127,NEMAHA,,08-MAY-50 22:10:00,CST,08-MAY-50 22:10:00,1,0,0,0,25K,0,,0,,,,F2,8.8,467,,,,,0,,,0,,,40.38,-95.80,40.28,-95.68
Tornado,C,145,RED WILLOW,,18-MAY-50 15:15:00,CST,18-MAY-50 15:15:00,0,0,0,0,25K,0,,0,,,,F1,.7,333,,,,,0,,,0,,,40.22,-100.63,,
Tornado,C,107,KNOX,,13-JUN-50 17:30:00,CST,13-JUN-50 17:30:00,101,0,0,0,25K,0,,0,,,,F2,4.1,33,,,,,0,,,0,,,42.60,-97.88,42.65,-97.82
Tornado,C,21,BURT,,15-JUL-50 17:30:00,CST,15-JUL-50 17:30:00,33,0,0,0,2.5M,0,,0,,,,F4,10,440,,,,,0,,,0,,,41.80,-96.60,41.73,-96.42
Tornado,C,109,LANCASTER,,21-SEP-50 17:30:00,CST,21-SEP-50 17:30:00,0,0,0,0,2.5K,0,,0,,,,F1,22.5,67,,,,,0,,,0,,,40.72,-96.82,40.72,-96.38
Tornado,C,7,MIDDLESEX,,12-JUL-50 16:00:00,CST,12-JUL-50 16:00:00,0,0,0,0,2.5K,0,,0,,,,F2,10,33,,,,,0,,,0,,,41.57,-72.57,,
Tornado,C,101,NEWTON,,20-NOV-50 07:30:00,CST,20-NOV-50 07:30:00,3,0,0,0,25K,0,,0,,,,F1,2,37,,,,,0,,,0,,,32.42,-89.13,,
Tornado,C,37,FRANKLIN,,30-AUG-50 16:00:00,CST,30-AUG-50 16:00:00,0,0,0,0,25K,0,,0,,,,F1,.5,50,,,,,0,,,0,,,29.73,-84.98,,
